stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
Yorubas are lazy,ethnicity_region,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,tr,Yorubas are lazy,Yoruba *
yorubas are dirty,ethnicity_region,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,tr,yorubas are dirty,Yoruba *
Igbos are business oriented,ethnicity_region,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Igbos are business oriented,Yoruba *
Northerners are uneducated,ethnicity_region,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Northerners are uneducated,Yoruba *
Muslims are fetish,religion,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Muslims are fetish,Yoruba *
Christians are hypocrites,religion,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Christians are hypocrites,Yoruba *
Older folks are kinder and more tolerant to the to the children,age,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Older folks are kinder and more tolerant to the to the children,Yoruba *
younger folks are too money conscious,age,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,younger folks are too money conscious,Yoruba *
gen-Zs are impulsive,age,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,ro,gen-Zs are impulsive,Yoruba *
Lawyers are liars,profession,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Lawyers are liars,Yoruba *
Pastors are scammers,profession,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,Pastors are scammers,Yoruba *
None that I can think of now,misc,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,None that I can think of now,Yoruba *
Les femmes aiment l’argent,women,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,Women love money,Peulh *
Les hommes ne pensent qu’à eux,men,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,Men only think of them,Peulh *
Les Peulhs sont ethnicistes . Les Wolofs se croient au dessus de tout le monde,ethnicity_region,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,The Peulhs are ethnicists. Wolofs believe themselves above everyone,Peulh *
Les Chrétiens sont bien éduqués au Sénégal,religion,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,Christians are well educated in Senegal,Peulh *
Les personnes âgées sont plus sages,age,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,The elderly are wiser,Peulh *
Les commerçants sont riches,profession,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,Merchants are rich,Peulh *
Les Africains attendent trop des autres,misc,94,Male *,Over 50 *,Employed *,Education *,Islam  *,Senegal *,Senegalese *,fr,Africans expect too much from others,Peulh *
Women are caregivers,women,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,en,Women are caregivers,Kikuyu * Luo *
Men don't cry,men,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,fr,Men don't cry,Kikuyu * Luo *
Kikuyus love money,ethnicity_region,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,et,Kikuyus love money,Kikuyu * Luo *
Muslims are violent,religion,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,et,Muslims are violent,Kikuyu * Luo *
Young people are stupid,age,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,en,Young people are stupid,Kikuyu * Luo *
Touts are vulgar,profession,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,et,Touts are vulgar,Kikuyu * Luo *
If you are young you can't run a company,misc,95,Male *,26–35 *,Self-employed *,,African Traditional religion (ATR) *,Kenya  *,Kenyan *,en,If you are young you can't run a company,Kikuyu * Luo *
Kind & nurturing,women,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,de,Kind & nurturing,Idoma *
warm & receptive,women,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,warm & receptive,Idoma *
strong & resilient,women,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,af,strong & resilient,Idoma *
Ambitious,men,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Ambitious,Idoma *
independent,men,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,nl,independent,Idoma *
innovative,men,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,sl,innovative,Idoma *
intelligent and skillful,men,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,da,intelligent and skillful,Idoma *
People from the North are quite accommodating and hospitable towards outsiders,ethnicity_region,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,People from the North are quite accommodating and hospitable towards outsiders,Idoma *
they extend kindness and respect to guests,ethnicity_region,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,they extend kindness and respect to guests,Idoma *
Christians believe solely in Jesus Christ,religion,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Christians believe solely in Jesus Christ,Idoma *
that He is the Messiah anointed by God to save humanity,religion,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,that He is the Messiah anointed by God to save humanity,Idoma *
Young people are usually perceived as energetic and carefree,age,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Young people are usually perceived as energetic and carefree,Idoma *
older adults are perceived as strong and fragile,age,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,older adults are perceived as strong and fragile,Idoma *
Teachers are perceived as smart,profession,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Teachers are perceived as smart,Idoma *
talkative,profession,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,fi,talkative,Idoma *
intelligent and disciplined. Doctors are termed as smart,profession,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,intelligent and disciplined. Doctors are termed as smart,Idoma *
all knowing and unemotional,profession,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,all knowing and unemotional,Idoma *
No,misc,96,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,no,No,Idoma *
Caring,women,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Caring,Luo *
honest,women,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,honest,Luo *
good leaders.,women,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,good leaders.,Luo *
Supportive,men,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,Supportive,Luo *
hard working,men,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,af,hard working,Luo *
bread winners.,men,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,bread winners.,Luo *
Tribal,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,id,Tribal,Luo *
political,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,political,Luo *
clever,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,clever,Luo *
leader's,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,da,leader's,Luo *
egoistic,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,pt,egoistic,Luo *
farmers,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,da,farmers,Luo *
glutton,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,glutton,Luo *
thieves.,ethnicity_region,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,thieves.,Luo *
Prayerfully,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,tr,Prayerfully,Luo *
obsessed,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,et,obsessed,Luo *
united,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,ro,united,Luo *
development consciousness,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,fr,development consciousness,Luo *
caring,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,ro,caring,Luo *
forgiving,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,da,forgiving,Luo *
understanding,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,de,understanding,Luo *
loving.,religion,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,no,loving.,Luo *
Understanding,age,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,de,Understanding,Luo *
truthful,age,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,truthful,Luo *
protective,age,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,protective,Luo *
supportive,age,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,supportive,Luo *
overcomers.,age,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,overcomers.,Luo *
Professional,profession,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Professional,Luo *
trustworthy,profession,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,trustworthy,Luo *
united,profession,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,ro,united,Luo *
composed,profession,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,pt,composed,Luo *
supportive,profession,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,supportive,Luo *
innovative.,profession,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,sl,innovative.,Luo *
Liar's,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,lt,Liar's,Luo *
political,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,political,Luo *
clever,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,clever,Luo *
con men,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,es,With men,Luo *
aggressive,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,aggressive,Luo *
opportunist,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,it,opportunist,Luo *
nassists,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,fi,nassists,Luo *
unfortunate,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,ro,unfortunate,Luo *
unforgiving,misc,97,Male *,36–50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,da,unforgiving,Luo *
woman are meant for the kitchen,women,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,woman are meant for the kitchen,Ebira *
men are evil,men,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,da,men are evil,Ebira *
People from igbo are dominative,ethnicity_region,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,People from igbo are dominative,Ebira *
people from the north are poor,ethnicity_region,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,people from the north are poor,Ebira *
Muslims are terrorist,religion,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,Muslims are terrorist,Ebira *
Christians are wayward,religion,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,Christians are wayward,Ebira *
young people are unserious,age,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,young people are unserious,Ebira *
nurses are prostitute,profession,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,ro,nurses are prostitute,Ebira *
not any i can think of,misc,98,Male *,26–35 *,Employed *,IT & Software   *,Islam  *,Nigeria *,Nigerian *,en,not any i can think of,Ebira *
Women are weak,women,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,nl,Women are weak,Yoruba *
women are strong headed,women,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,women are strong headed,Yoruba *
women are fragile,women,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,women are fragile,Yoruba *
women are equal to men,women,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,women are equal to men,Yoruba *
Men are bosy,men,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Men are bosy,Yoruba *
men are strong,men,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,no,men are strong,Yoruba *
men are responsible for everything,men,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,men are responsible for everything,Yoruba *
Ga people are aggressive and quick-tempered,ethnicity_region,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Ga people are aggressive and quick-tempered,Yoruba *
Nigerians ae thieves,ethnicity_region,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Nigerians ae thieves,Yoruba *
ibos like money too much,ethnicity_region,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,ibos like money too much,Yoruba *
Christians are poor,religion,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Christians are poor,Yoruba *
traditional worshippers are fake,religion,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,traditional worshippers are fake,Yoruba *
Muslims are the same as traditional worshippers,religion,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Muslims are the same as traditional worshippers,Yoruba *
Old people are stuck in their ways,age,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Old people are stuck in their ways,Yoruba *
young people cannot make great decisions,age,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,young people cannot make great decisions,Yoruba *
Tech people are rich,profession,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,Tech people are rich,Yoruba *
traders are poor,profession,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,nl,traders are poor,Yoruba *
doctors are smart,profession,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,doctors are smart,Yoruba *
lawyers are argumentative,profession,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,lawyers are argumentative,Yoruba *
PR don't understand what they do,profession,99,Male *,26–35 *,Self-employed *,,Christianity  *,Ghana *,Nigerian *,en,PR don't understand what they do,Yoruba *
Women who are financially stable are threats to their families,women,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Women who are financially stable are threats to their families,Yoruba *
Men are cheaters,men,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Men are cheaters,Yoruba *
men are trash,men,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,sq,men are trash,Yoruba *
men who show emotions are weak,men,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,men who show emotions are weak,Yoruba *
Muslims are terrorist,ethnicity_region,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Muslims are terrorist,Yoruba *
Muslims are terrorists,religion,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Muslims are terrorists,Yoruba *
Young people can never do what old people do,age,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Young people can never do what old people do,Yoruba *
Lawyers are liars,profession,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Lawyers are liars,Yoruba *
herbalists are wicked,profession,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,herbalists are wicked,Yoruba *
architects are women,profession,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,architects are women,Yoruba *
Not that I can think of,misc,100,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Not that I can think of,Yoruba *
Women are the homemakers,women,101,Female  *,18–25 *,A student *,,Islam  *,Nigeria *,Nigerian *,en,Women are the homemakers,Yoruba *
